,rpmSetPoint,CurrentPeak,UTE,@timestamp,numTP,statoRot,statorCelsius,DIAM,idChiave,bearingsCelsius,ist_acc,spindleRpm,VibromPeak,LUNG
178,20000.0,13.168,DIA12_16-20Z3V,2021-01-25T09:32:16.585Z,1,1,21.0,12.0,3547,18.0,1204176,20004.0,0.4,120.169
179,20000.0,13.154,DIA12_16-20Z3V,2021-01-25T09:38:56.562Z,1,1,21.0,12.0,3548,18.0,1244173,20005.0,0.5,120.169
180,20000.0,13.515,DIA12_16-20Z3V,2021-01-25T09:53:44.168Z,1,1,21.0,12.0,3550,18.0,1332932,19983.0,0.3,120.169
181,20000.0,13.246,DIA12_16-20Z3V,2021-01-25T10:22:30.097Z,1,1,22.0,12.0,3551,18.0,1505522,19980.0,0.4,120.169
182,18000.0,13.013,DIA12_20-25Z2V,2021-01-25T10:24:37.269Z,1,1,26.0,12.0,3552,19.0,1518239,17992.0,1.8,113.199
183,20000.0,13.119,DIA12_16-20Z3V,2021-01-25T10:46:32.262Z,1,1,22.0,12.0,3553,19.0,1649736,19987.0,0.3,120.169
184,20000.0,13.211,DIA12_16-20Z3V,2021-01-25T10:50:34.956Z,1,1,28.0,12.0,3554,21.0,1674005,19995.0,0.5,120.169
185,20000.0,13.423,DIA12_16-20Z3V,2021-01-25T11:16:31.123Z,1,1,24.0,12.0,3555,21.0,1829619,19980.0,0.6,120.169
186,20000.0,12.999,DIA12_16-20Z3V,2021-01-25T12:32:51.994Z,1,1,24.0,12.0,3556,21.0,379590,20016.0,0.8,120.169
187,18000.0,13.091,DIA20_30-40Z2V,2021-01-25T12:38:35.757Z,1,1,24.0,20.0,3557,21.0,413965,18007.0,0.5,131.029
188,20000.0,13.353,DIA12_16-20Z3V,2021-01-25T16:29:15.393Z,1,1,23.0,12.0,3558,19.0,1797876,20009.0,0.5,120.169
189,20000.0,13.183,DIA12_16-20Z3V,2021-01-25T16:39:29.377Z,1,1,23.0,12.0,3559,20.0,1859272,19995.0,0.6,120.169
190,20000.0,13.168,DIA12_16-20Z3V,2021-01-26T08:01:40.990Z,1,1,9.0,12.0,3562,7.0,211207,19997.0,0.7,120.169
191,20000.0,13.133,DIA12_16-20Z3V,2021-01-26T08:04:29.618Z,1,1,14.0,12.0,3563,8.0,228071,19980.0,0.8,120.169
192,20000.0,13.211,DIA12_16-20Z3V,2021-01-26T08:23:02.135Z,1,1,12.0,12.0,3564,9.0,339331,19966.0,0.6,120.169
