,CurrentPeak,statorCelsius,rpmSetPoint,bearingsCelsius,VibromPeak,idChiave,ist_acc,spindleRpm,LUNG,numTP,UTE,@timestamp,statoRot,DIAM
100,11.689,27.0,750.0,20.0,0.1,1032,2923372,752.0,186.0,1,M6,2021-01-22T16:57:00.571Z,1,6.0
101,14.519,27.0,0.0,20.0,0.1,1032,2924098,0.0,186.0,1,M6,2021-01-22T16:57:07.831Z,1,6.0
102,14.613,27.0,0.0,20.0,0.1,1032,2924595,0.0,186.0,1,M6,2021-01-22T16:57:12.801Z,1,6.0
103,14.566,27.0,0.0,20.0,0.1,1032,2923600,0.0,186.0,1,M6,2021-01-22T16:57:02.851Z,1,6.0
104,12.363,27.0,750.0,20.0,0.1,1032,2923869,755.0,186.0,1,M6,2021-01-22T16:57:05.541Z,1,6.0
105,12.287,27.0,750.0,20.0,0.1,1032,2924366,755.0,186.0,1,M6,2021-01-22T16:57:10.511Z,1,6.0
106,12.304,27.0,750.0,20.0,0.1,1032,2924864,755.0,186.0,1,M6,2021-01-22T16:57:15.491Z,1,6.0
107,14.537,27.0,0.0,20.0,0.1,1032,2925092,0.0,186.0,1,M6,2021-01-22T16:57:17.771Z,1,6.0
108,12.316,27.0,750.0,20.0,0.1,1032,2925858,754.0,186.0,1,M6,2021-01-22T16:57:25.431Z,1,6.0
109,14.015,27.0,0.0,20.0,0.1,1032,2926086,0.0,186.0,1,M6,2021-01-22T16:57:27.711Z,1,6.0
110,11.906,27.0,750.0,20.0,0.1,1032,2926355,751.0,186.0,1,M6,2021-01-22T16:57:30.401Z,1,6.0
111,14.091,27.0,0.0,20.0,0.1,1032,2926583,0.0,186.0,1,M6,2021-01-22T16:57:32.681Z,1,6.0
112,11.935,27.0,750.0,20.0,0.1,1032,2927350,751.0,186.0,1,M6,2021-01-22T16:57:40.351Z,1,6.0
113,13.892,28.0,0.0,20.0,0.1,1032,2927578,0.0,186.0,1,M6,2021-01-22T16:57:42.632Z,1,6.0
114,12.351,27.0,750.0,20.0,0.1,1032,2925361,745.0,186.0,1,M6,2021-01-22T16:57:20.461Z,1,6.0
115,14.537,27.0,0.0,20.0,0.1,1032,2925589,0.0,186.0,1,M6,2021-01-22T16:57:22.741Z,1,6.0
116,13.921,27.0,0.0,20.0,0.1,1032,2927080,0.0,186.0,1,M6,2021-01-22T16:57:37.651Z,1,6.0
117,11.906,27.0,750.0,20.0,0.1,1032,2926852,750.0,186.0,1,M6,2021-01-22T16:57:35.371Z,1,6.0
118,11.876,28.0,750.0,20.0,0.1,1032,2927848,751.0,186.0,1,M6,2021-01-22T16:57:45.332Z,1,6.0
119,14.015,28.0,0.0,20.0,0.1,1032,2928076,0.0,186.0,1,M6,2021-01-22T16:57:47.612Z,1,6.0
120,11.888,28.0,750.0,20.0,0.1,1032,2928345,749.0,186.0,1,M6,2021-01-22T16:57:50.302Z,1,6.0
121,14.091,28.0,0.0,20.0,0.1,1032,2928573,0.0,186.0,1,M6,2021-01-22T16:57:52.582Z,1,6.0
122,11.859,28.0,750.0,20.0,0.1,1032,2928842,750.0,186.0,1,M6,2021-01-22T16:57:55.272Z,1,6.0
123,14.226,29.0,0.0,20.0,0.1,1032,2929070,0.0,186.0,1,M6,2021-01-22T16:57:57.552Z,1,6.0
124,12.269,29.0,750.0,20.0,0.1,1032,2929339,744.0,186.0,1,M6,2021-01-22T16:58:00.242Z,1,6.0
125,11.765,29.0,750.0,20.0,0.1,1032,2929836,752.0,186.0,1,M6,2021-01-22T16:58:05.212Z,1,6.0
126,14.044,29.0,0.0,20.0,0.1,1032,2930064,0.0,186.0,1,M6,2021-01-22T16:58:07.492Z,1,6.0
