,statorCelsius,LUNG,VibromPeak,spindleRpm,@timestamp,DIAM,ist_acc,idChiave,rpmSetPoint,numTP,bearingsCelsius,CurrentPeak,UTE,statoRot
106,29.0,98.349,2.9,3934.0,2021-07-23T02:39:08.735Z,351.0,1184272,7190,4000.0,1,0.0,37.355,FRESA350,1
107,30.0,98.349,4.6,3998.0,2021-07-23T02:41:51.638Z,351.0,1200562,7190,4000.0,1,0.0,2.79,FRESA350,1
108,30.0,98.349,2.6,4001.0,2021-07-23T02:42:22.809Z,351.0,1203679,7190,4000.0,1,0.0,6.107,FRESA350,1
109,35.0,118.0,1.0,18053.0,2021-07-23T02:45:46.032Z,8.9,1224001,7191,18000.0,1,0.0,30.101,R9MM_25,1
110,32.0,98.349,2.6,3942.0,2021-07-23T02:48:33.434Z,351.0,1240741,7192,4000.0,1,0.0,31.775,FRESA350,1
111,32.0,127.8,0.4,4942.0,2021-07-23T02:49:00.025Z,8.0,1243400,7193,5000.0,1,0.0,32.395,R0MM_53,1
112,28.0,259.7,0.5,1953.0,2021-07-23T02:51:16.937Z,16.0,1257091,7194,2000.0,1,0.0,25.513,TH_16MM_182,1
113,30.0,98.349,2.7,3919.0,2021-07-23T02:59:59.806Z,351.0,1309377,7195,4000.0,1,0.0,30.41,FRESA350,1
114,30.0,98.349,4.5,4003.0,2021-07-23T03:02:43.948Z,351.0,1325791,7195,4000.0,1,0.0,3.813,FRESA350,1
115,30.0,98.349,2.5,3998.0,2021-07-23T03:03:15.109Z,351.0,1328907,7195,4000.0,1,0.0,6.603,FRESA350,1
116,35.0,118.0,1.5,18012.0,2021-07-23T03:06:38.102Z,8.9,1349206,7196,18000.0,1,0.0,28.52,R9MM_25,1
117,30.0,98.349,2.6,3990.0,2021-07-23T03:09:47.535Z,351.0,1368149,7197,4000.0,1,0.0,31.186,FRESA350,1
118,32.0,127.8,0.5,4990.0,2021-07-23T03:10:14.135Z,8.0,1370809,7198,5000.0,1,0.0,27.434,R0MM_53,1
119,28.0,259.7,0.5,2012.0,2021-07-23T03:12:31.278Z,16.0,1384523,7199,2000.0,1,0.0,27.931,TH_16MM_182,1
120,28.0,98.349,2.5,3955.0,2021-07-23T03:21:14.276Z,351.0,1436822,7200,4000.0,1,0.0,27.59,FRESA350,1
121,30.0,98.349,4.0,4001.0,2021-07-23T03:24:00.989Z,351.0,1453493,7200,4000.0,1,0.0,6.107,FRESA350,1
122,30.0,98.349,2.3,3999.0,2021-07-23T03:24:32.119Z,351.0,1456606,7200,4000.0,1,0.0,2.015,FRESA350,1
123,36.0,118.0,1.7,18000.0,2021-07-23T03:27:55.273Z,8.9,1476921,7201,18000.0,1,0.0,27.311,R9MM_25,1
124,30.0,98.349,3.1,3932.0,2021-07-23T03:31:05.956Z,351.0,1495989,7202,4000.0,1,0.0,15.686,FRESA350,1
125,30.0,127.8,0.4,5007.0,2021-07-23T03:31:32.596Z,8.0,1498653,7203,5000.0,1,0.0,27.9,R0MM_53,1
126,28.0,259.7,0.5,2010.0,2021-07-23T03:34:07.309Z,16.0,1514124,7204,2000.0,1,0.0,34.348,TH_16MM_182,1
127,28.0,98.349,2.5,3923.0,2021-07-23T03:42:50.137Z,351.0,1566406,7205,4000.0,1,0.0,27.775,FRESA350,1
128,30.0,98.349,4.0,4001.0,2021-07-23T03:45:34.260Z,351.0,1582818,7205,4000.0,1,0.0,5.208,FRESA350,1
129,30.0,98.349,2.2,3997.0,2021-07-23T03:46:05.450Z,351.0,1585937,7205,4000.0,1,0.0,6.2,FRESA350,1
130,36.0,118.0,1.1,18061.0,2021-07-23T03:49:27.984Z,8.9,1606190,7206,18000.0,1,0.0,34.379,R9MM_25,1
131,27.0,98.349,2.6,3963.0,2021-07-23T05:05:15.888Z,351.0,2060973,7207,4000.0,1,0.0,27.434,FRESA350,1
132,27.0,127.8,0.4,5025.0,2021-07-23T05:05:42.589Z,8.0,2063643,7208,5000.0,1,0.0,27.59,R0MM_53,1
133,27.0,259.7,0.3,2019.0,2021-07-23T05:07:37.280Z,16.0,2075112,7209,2000.0,1,0.0,21.235,TH_16MM_182,1
134,29.0,98.349,2.6,3972.0,2021-07-23T05:16:20.339Z,351.0,2127417,7210,4000.0,1,0.0,37.509,FRESA350,1
135,30.0,98.349,4.3,4001.0,2021-07-23T05:19:19.692Z,351.0,2145352,7210,4000.0,1,0.0,1.767,FRESA350,1
136,30.0,98.349,2.4,4000.0,2021-07-23T05:19:50.842Z,351.0,2148467,7210,4000.0,1,0.0,2.79,FRESA350,1
137,35.0,118.0,1.8,18070.0,2021-07-23T05:23:19.896Z,8.9,2169372,7211,18000.0,1,0.0,29.295,R9MM_25,1
138,30.0,98.349,3.0,3898.0,2021-07-23T05:26:38.949Z,351.0,2189277,7212,4000.0,1,0.0,34.75,FRESA350,1
139,30.0,127.8,0.4,5018.0,2021-07-23T05:27:05.689Z,8.0,2191951,7213,5000.0,1,0.0,24.862,R0MM_53,1
140,28.0,259.7,0.3,2019.0,2021-07-23T05:29:40.682Z,16.0,2207450,7214,2000.0,1,0.0,34.688,TH_16MM_182,1
141,30.0,98.349,2.5,3986.0,2021-07-23T05:38:23.660Z,351.0,2259747,7215,4000.0,1,0.0,27.745,FRESA350,1
142,30.0,98.349,4.5,3999.0,2021-07-23T05:41:07.663Z,351.0,2276147,7215,4000.0,1,0.0,3.286,FRESA350,1
143,30.0,98.349,2.3,3999.0,2021-07-23T05:41:45.933Z,351.0,2279974,7215,4000.0,1,0.0,3.41,FRESA350,1
144,35.0,118.0,1.8,18020.0,2021-07-23T05:45:10.157Z,8.9,2300396,7216,18000.0,1,0.0,27.745,R9MM_25,1
145,30.0,98.349,2.7,3972.0,2021-07-23T05:48:04.680Z,351.0,2317848,7217,4000.0,1,0.0,33.852,FRESA350,1
146,32.0,127.8,0.4,5012.0,2021-07-23T05:48:31.270Z,8.0,2320507,7218,5000.0,1,0.0,28.923,R0MM_53,1
147,28.0,259.7,0.3,2015.0,2021-07-23T05:50:44.192Z,16.0,2333799,7219,2000.0,1,0.0,38.192,TH_16MM_182,1
148,30.0,98.349,2.9,3968.0,2021-07-23T05:59:27.191Z,351.0,2386098,7220,4000.0,1,0.0,37.571,FRESA350,1
149,30.0,98.349,5.1,4001.0,2021-07-23T06:02:09.833Z,351.0,2402362,7220,4000.0,1,0.0,3.1,FRESA350,1
150,30.0,98.349,2.5,4000.0,2021-07-23T06:02:41.724Z,351.0,2405551,7220,4000.0,1,0.0,3.689,FRESA350,1
151,37.0,118.0,1.6,18069.0,2021-07-23T06:06:06.217Z,8.9,2426000,7221,18000.0,1,0.0,24.676,R9MM_25,1
152,32.0,98.349,2.6,3937.0,2021-07-23T06:08:55.040Z,351.0,2442882,7222,4000.0,1,0.0,26.815,FRESA350,1
153,30.0,127.8,0.3,4982.0,2021-07-23T06:09:21.630Z,8.0,2445541,7223,5000.0,1,0.0,29.729,R0MM_53,1
