,DIAM,rpmSetPoint,statoRot,LUNG,numTP,UTE,ist_acc,CurrentPeak,bearingsCelsius,VibromPeak,idChiave,statorCelsius,spindleRpm,@timestamp
88,3.0,20000.0,1,120.739,1,D3_L12_Z1,920567,20.247,25.0,1.4,1437,27.0,19945.0,2021-06-30T08:44:25.542Z
89,15.0,18000.0,1,146.483,1,FRESA_90_GRADI,926747,20.247,27.0,7.4,1438,32.0,17992.0,2021-06-30T08:45:27.344Z
90,8.0,20000.0,1,207.647,1,D8_L28_Z1,932058,20.23,27.0,4.5,1439,32.0,20016.0,2021-06-30T08:46:20.456Z
91,3.0,20000.0,1,120.739,1,D3_L12_Z1,937108,20.417,28.0,1.4,1440,34.0,20041.0,2021-06-30T08:47:10.958Z
92,15.0,16000.0,1,146.479,1,FRESA_90_GRADI,1172819,20.195,25.0,8.1,1441,25.0,16017.0,2021-06-30T09:26:28.157Z
93,8.0,20000.0,1,207.647,1,D8_L28_Z1,1179809,20.212,27.0,2.7,1442,30.0,19964.0,2021-06-30T09:27:38.059Z
94,3.0,15000.0,1,120.739,1,D3_L12_Z1,1183051,20.145,27.0,1.5,1443,32.0,14906.0,2021-06-30T09:28:10.480Z
95,4.0,15000.0,1,106.706,1,D4_L18_Z1,1230539,20.298,25.0,1.2,1444,25.0,13960.0,2021-06-30T09:36:05.378Z
96,15.0,16000.0,1,146.479,1,FRESA_90_GRADI,1233870,20.281,27.0,8.1,1445,27.0,15515.0,2021-06-30T09:36:38.690Z
97,15.0,16000.0,1,146.479,1,FRESA_90_GRADI,1234058,1.802,27.0,8.6,1445,28.0,15477.0,2021-06-30T09:36:40.570Z
98,15.0,16000.0,1,146.479,1,FRESA_90_GRADI,1234744,1.598,27.0,8.6,1445,28.0,15388.0,2021-06-30T09:36:47.430Z
99,3.0,15000.0,1,120.739,1,D3_L12_Z1,1241737,20.247,27.0,1.4,1447,32.0,15027.0,2021-06-30T09:37:57.363Z
100,8.0,20000.0,1,207.647,1,D8_L28_Z1,1238421,20.23,27.0,3.4,1446,30.0,19983.0,2021-06-30T09:37:24.201Z
101,4.0,15000.0,1,106.706,1,D4_L18_Z1,1805805,20.247,25.0,1.3,1448,25.0,15051.0,2021-06-30T11:11:58.254Z
102,4.0,20000.0,1,106.706,1,D4_L18_Z1,1807215,12.274,25.0,0.5,1448,27.0,19993.0,2021-06-30T11:12:12.354Z
103,8.0,20000.0,1,207.647,1,D8_L28_Z1,1817906,20.365,28.0,4.6,1449,33.0,19968.0,2021-06-30T11:13:59.268Z
104,3.0,15000.0,1,120.739,1,D3_L12_Z1,1822668,1.207,28.0,1.1,1450,32.0,15050.0,2021-06-30T11:14:46.890Z
105,3.0,15000.0,1,120.739,1,D3_L12_Z1,1823277,1.921,28.0,0.1,1450,32.0,14981.0,2021-06-30T11:14:52.980Z
106,3.0,15000.0,1,120.739,1,D3_L12_Z1,1824719,3.74,28.0,0.2,1450,32.0,14863.0,2021-06-30T11:15:07.401Z
107,3.0,15000.0,1,120.739,1,D3_L12_Z1,1825050,2.363,28.0,0.1,1450,32.0,14876.0,2021-06-30T11:15:10.711Z
108,3.0,15000.0,1,120.739,1,D3_L12_Z1,1823085,2.125,28.0,0.2,1450,32.0,14871.0,2021-06-30T11:14:51.060Z
109,3.0,15000.0,1,120.739,1,D3_L12_Z1,1824473,2.193,28.0,0.2,1450,32.0,15018.0,2021-06-30T11:15:04.941Z
110,3.0,15000.0,1,120.739,1,D3_L12_Z1,1824531,1.547,28.0,0.1,1450,32.0,14834.0,2021-06-30T11:15:05.521Z
111,3.0,15000.0,1,120.739,1,D3_L12_Z1,1824607,1.972,28.0,0.2,1450,32.0,14987.0,2021-06-30T11:15:06.281Z
112,3.0,15000.0,1,120.739,1,D3_L12_Z1,1824521,3.332,28.0,0.2,1450,32.0,14867.0,2021-06-30T11:15:05.421Z
113,3.0,15000.0,1,120.739,1,D3_L12_Z1,1823233,2.227,28.0,0.3,1450,32.0,15028.0,2021-06-30T11:14:52.540Z
114,3.0,15000.0,1,120.739,1,D3_L12_Z1,1823260,0.969,28.0,0.2,1450,32.0,14826.0,2021-06-30T11:14:52.810Z
115,3.0,15000.0,1,120.739,1,D3_L12_Z1,1820778,20.162,28.0,1.5,1450,33.0,15037.0,2021-06-30T11:14:27.989Z
116,4.0,20000.0,1,106.706,1,D4_L18_Z1,1877763,9.843,27.0,0.8,1451,27.0,19988.0,2021-06-30T11:23:57.861Z
117,4.0,15000.0,1,106.706,1,D4_L18_Z1,1876489,20.195,27.0,1.3,1451,27.0,15002.0,2021-06-30T11:23:45.120Z
118,8.0,20000.0,1,207.647,1,D8_L28_Z1,1883542,20.145,27.0,4.9,1452,32.0,20014.0,2021-06-30T11:24:55.653Z
119,3.0,15000.0,1,120.739,1,D3_L12_Z1,1886394,20.264,27.0,1.5,1453,32.0,14951.0,2021-06-30T11:25:24.174Z
120,4.0,15000.0,1,106.706,1,D4_L18_Z1,1968402,20.298,27.0,1.0,1454,25.0,14931.0,2021-06-30T11:39:04.285Z
121,4.0,15000.0,1,106.706,1,D4_L18_Z1,1968699,1.649,27.0,0.3,1454,27.0,15060.0,2021-06-30T11:39:07.255Z
122,4.0,15000.0,1,106.706,1,D4_L18_Z1,1968711,2.873,27.0,0.3,1454,27.0,14950.0,2021-06-30T11:39:07.375Z
123,4.0,15000.0,1,106.706,1,D4_L18_Z1,1969648,3.74,27.0,0.2,1454,27.0,12004.0,2021-06-30T11:39:16.745Z
124,4.0,15000.0,1,106.706,1,D4_L18_Z1,1969030,4.692,25.0,0.3,1454,27.0,12032.0,2021-06-30T11:39:10.565Z
125,8.0,20000.0,1,193.084,1,D8_90GRADI_Z1,1972931,20.349,27.0,2.1,1455,28.0,20006.0,2021-06-30T11:39:49.577Z
126,8.0,20000.0,1,193.084,1,D8_90GRADI_Z1,1982780,20.212,27.0,2.2,1456,28.0,19962.0,2021-06-30T11:41:28.070Z
127,6.0,20000.0,1,130.958,1,D6_L23_Z2,1995859,20.382,27.0,0.9,1457,27.0,19963.0,2021-06-30T11:43:38.865Z
128,3.0,15000.0,1,120.739,1,D3_L12_Z1,1998688,20.195,27.0,1.6,1458,30.0,14969.0,2021-06-30T11:44:07.156Z
129,3.0,15000.0,1,120.739,1,D3_L12_Z1,2219403,20.162,25.0,1.5,1459,25.0,14916.0,2021-06-30T12:20:54.389Z
130,3.0,15000.0,1,120.739,1,D3_L12_Z1,2221626,1.717,25.0,0.9,1459,27.0,15059.0,2021-06-30T12:21:16.620Z
131,3.0,15000.0,1,120.739,1,D3_L12_Z1,2221778,5.185,25.0,0.7,1459,27.0,12319.0,2021-06-30T12:21:18.140Z
132,3.0,15000.0,1,120.739,1,D3_L12_Z1,2221637,2.55,25.0,0.9,1459,27.0,14945.0,2021-06-30T12:21:16.730Z
133,3.0,15000.0,1,120.739,1,D3_L12_Z1,2222366,4.386,25.0,1.3,1459,27.0,14986.0,2021-06-30T12:21:24.021Z
134,3.0,15000.0,1,120.739,1,D3_L12_Z1,2233480,20.145,27.0,0.2,1460,27.0,12008.0,2021-06-30T12:23:15.165Z
135,3.0,15000.0,1,120.739,1,D3_L12_Z1,2234352,2.805,27.0,0.2,1460,28.0,12013.0,2021-06-30T12:23:23.885Z
136,3.0,15000.0,1,120.739,1,D3_L12_Z1,2234412,3.893,27.0,0.2,1460,28.0,12164.0,2021-06-30T12:23:24.485Z
137,3.0,15000.0,1,120.739,1,D3_L12_Z1,2234524,3.978,27.0,0.4,1460,28.0,12017.0,2021-06-30T12:23:25.605Z
138,3.0,15000.0,1,120.739,1,D3_L12_Z1,2234670,4.437,27.0,0.4,1460,28.0,14954.0,2021-06-30T12:23:27.065Z
139,3.0,15000.0,1,120.739,1,D3_L12_Z1,2240468,20.298,27.0,1.5,1461,29.0,15009.0,2021-06-30T12:24:25.047Z
140,3.0,15000.0,1,120.739,1,D3_L12_Z1,2256012,20.128,28.0,0.5,1462,32.0,15023.0,2021-06-30T12:27:00.493Z
141,3.0,15000.0,1,120.739,1,D3_L12_Z1,2256805,4.862,28.0,0.8,1462,32.0,12126.0,2021-06-30T12:27:08.424Z
142,3.0,15000.0,1,120.739,1,D3_L12_Z1,2258216,4.267,28.0,1.0,1462,30.0,15026.0,2021-06-30T12:27:22.534Z
143,3.0,15000.0,1,120.739,1,D3_L12_Z1,2257982,3.366,28.0,0.2,1462,30.0,12003.0,2021-06-30T12:27:20.194Z
144,3.0,15000.0,1,120.739,1,D3_L12_Z1,2264039,4.352,29.0,1.1,1462,32.0,13500.0,2021-06-30T12:28:20.766Z
145,8.0,15000.0,1,193.084,1,D8_90GRADI_Z1,2269910,20.298,29.0,1.0,1463,33.0,13706.0,2021-06-30T12:29:19.479Z
146,8.0,15000.0,1,193.084,1,D8_90GRADI_Z1,2271052,2.465,29.0,1.1,1463,33.0,13947.0,2021-06-30T12:29:30.899Z
147,8.0,15000.0,1,193.084,1,D8_90GRADI_Z1,2271607,3.162,29.0,1.1,1463,33.0,13662.0,2021-06-30T12:29:36.449Z
148,8.0,15000.0,1,193.084,1,D8_90GRADI_Z1,2271656,2.244,29.0,1.2,1463,33.0,13962.0,2021-06-30T12:29:36.939Z
149,8.0,15000.0,1,193.084,1,D8_90GRADI_Z1,2272032,3.876,29.0,1.1,1463,32.0,13953.0,2021-06-30T12:29:40.699Z
150,8.0,15000.0,1,193.084,1,D8_90GRADI_Z1,2272145,3.842,29.0,1.1,1463,32.0,14108.0,2021-06-30T12:29:41.829Z
151,8.0,15000.0,1,193.084,1,D8_90GRADI_Z1,2270831,3.587,29.0,1.2,1463,33.0,13814.0,2021-06-30T12:29:28.689Z
152,8.0,15000.0,1,193.084,1,D8_90GRADI_Z1,2271113,3.026,29.0,1.1,1463,33.0,13806.0,2021-06-30T12:29:31.509Z
153,8.0,15000.0,1,193.084,1,D8_90GRADI_Z1,2271210,4.148,29.0,1.1,1463,33.0,13656.0,2021-06-30T12:29:32.479Z
154,8.0,15000.0,1,193.084,1,D8_90GRADI_Z1,2271631,3.774,29.0,1.2,1463,33.0,13798.0,2021-06-30T12:29:36.689Z
155,8.0,15000.0,1,193.084,1,D8_90GRADI_Z1,2270942,4.046,29.0,1.2,1463,33.0,13971.0,2021-06-30T12:29:29.799Z
156,8.0,15000.0,1,193.084,1,D8_90GRADI_Z1,2272682,3.111,29.0,1.0,1463,32.0,14098.0,2021-06-30T12:29:47.200Z
157,8.0,15000.0,1,193.084,1,D8_90GRADI_Z1,2274604,3.4,29.0,1.1,1463,33.0,13969.0,2021-06-30T12:30:06.420Z
158,8.0,15000.0,1,193.084,1,D8_90GRADI_Z1,2271515,3.417,29.0,1.1,1463,33.0,13783.0,2021-06-30T12:29:35.529Z
159,8.0,15000.0,1,193.084,1,D8_90GRADI_Z1,2278924,4.199,30.0,1.2,1463,33.0,13958.0,2021-06-30T12:30:49.622Z
160,8.0,15000.0,1,193.084,1,D8_90GRADI_Z1,2278810,2.533,30.0,1.1,1463,33.0,14112.0,2021-06-30T12:30:48.482Z
161,3.0,15000.0,1,120.739,1,D3_L12_Z1,2310459,20.281,29.0,1.7,1464,29.0,13923.0,2021-06-30T12:36:04.984Z
162,6.0,20000.0,1,135.04,1,D6_L23_Z1,2337330,20.212,30.0,2.5,1465,35.0,18580.0,2021-06-30T12:40:33.704Z
163,3.0,20000.0,1,120.739,1,D3_L12_Z1,2343171,20.212,30.0,0.8,1466,35.0,18776.0,2021-06-30T12:41:32.116Z
164,3.0,20000.0,1,120.739,1,D3_L12_Z1,2346832,4.777,30.0,0.3,1466,35.0,19210.0,2021-06-30T12:42:08.728Z
165,3.0,20000.0,1,120.739,1,D3_L12_Z1,2344226,5.678,30.0,0.3,1466,35.0,19023.0,2021-06-30T12:41:42.667Z
166,3.0,20000.0,1,120.739,1,D3_L12_Z1,2346756,3.094,30.0,0.3,1466,35.0,19019.0,2021-06-30T12:42:07.968Z
167,3.0,20000.0,1,120.739,1,D3_L12_Z1,2347653,9.588,30.0,0.6,1466,35.0,20008.0,2021-06-30T12:42:16.938Z
168,3.0,20000.0,1,120.739,1,D3_L12_Z1,2354216,20.298,30.0,0.5,1467,34.0,20038.0,2021-06-30T12:43:22.570Z
169,6.0,20000.0,1,130.958,1,D6_L23_Z2,446229,20.298,25.0,1.3,1468,25.0,20023.0,2021-07-01T07:42:28.177Z
170,6.0,12000.0,1,130.958,1,D6_L23_Z2,473832,4.998,27.0,0.1,1469,28.0,9616.0,2021-07-01T07:47:04.213Z
171,6.0,12000.0,1,130.958,1,D6_L23_Z2,469020,20.212,27.0,0.5,1469,27.0,11968.0,2021-07-01T07:46:16.092Z
